project_id,project_name,project_name_en,list_type,category,scale_data_state,scale_video_count_best,scale_video_count_tier,stock_band,scale_best_hashtag,likely_reach_tier_statistical,likely_reach_tier,likely_reach_score,likely_total_play,likely_unique_videos,likely_max_play,likely_p95_play,likely_videos_ge_100k,likely_play_ratio,likely_video_ratio,reach_band_statistical,reach_band,raw_reach_tier,raw_total_play,inclusive_reach_tier,inclusive_total_play,low_relevance_play_ratio,reach_noise_risk,raw_to_likely_tier_delta,raw_unique_videos,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,auto_label_likely_relevant_rows,auto_label_needs_review_rows,auto_label_low_relevance_rows,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,likely_top_video_url,likely_top_video_desc,manual_audit_verdict,manual_audit_note,quadrant,quadrant_label,previous_quadrant,previous_likely_reach_tier,previous_likely_total_play,manual_corrected_quadrant_changed,manual_corrected_reach_tier_changed,manual_reach_play_delta,review_priority,matrix_note
11,麦西热甫,Meshrep,USL,表演艺术/民俗,clean,54,near_invisible,stock_low,meshrep,middle_40_70pct_reach,manual_demoted_false_breakout,6.481447,61411002,91,4200000,2700000,62,0.1497,0.1679,reach_mid,reach_low,middle_40_70pct_reach,410304017,middle_40_70pct_reach,62668144,0.8473,high,0,542,91,34,417,96,36,410,10,0,0,10,7,https://www.tiktok.com/@vincentmklee/video/7293368479342726408,This girl is from Xinjiang and she is a Uyghur. Wanna visit Xinjiang? 😉 #xinjiang #xinjiangchina #xinjianguyghurs🇨🇳 #uyghur #uyghurs #uyghurpeople #uyghurgirl #china ,false_breakout_confirmed,targeted human audit found the sampled high-reach breakout evidence unrelated; remaining auto-likely signal is not trusted for final quadrant,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_high,high_20_40pct_reach,145911002,True,True,-84500000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels; targeted audit can demote false breakout candidates beyond row-level relabeling
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,clean,343,near_invisible,stock_low,junkboat,high_20_40pct_reach,manual_demoted_false_breakout,6.836985,184008225,239,15200000,4060000,88,0.2427,0.3357,reach_high,reach_low,high_20_40pct_reach,758064231,high_20_40pct_reach,186271143,0.7543,high,0,712,239,33,440,243,35,434,9,0,0,9,6,https://www.tiktok.com/@jeweled.by.jolly/video/7493221326799293738,Brown Junk Case  🤎 #fyp #viral #trendyphonecase #phonecase #coolphonecases #girlyaesthetic #browns #junkcase #earthyaesthetic #earthtone ,false_breakout_confirmed,targeted human audit found the sampled high-reach breakout evidence unrelated; remaining auto-likely signal is not trusted for final quadrant,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_high,top_20pct_reach,302908225,True,True,-118900000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels; targeted audit can demote false breakout candidates beyond row-level relabeling
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,clean,171,near_invisible,stock_low,活字,top_20pct_reach,top_20pct_reach,6.98944,140944338,66,47700000,12275000,15,0.1445,0.0801,reach_high,reach_high,high_20_40pct_reach,975576060,high_20_40pct_reach,179942620,0.8156,high,1,824,70,99,694,68,102,693,14,7,1,6,4,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化 #中国传统文化 #传统手艺 #传统手工艺 #中国非物质 #传统艺人#传统手工艺人,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,high_20_40pct_reach,116544338,False,True,24400000,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
14,京剧,Peking opera,RL,表演艺术(戏曲),clean,7633,long_tail,stock_mid,pekingopera,top_20pct_reach,top_20pct_reach,7.053785,344408249,364,57700000,3570000,158,0.5965,0.6594,reach_high,reach_high,high_20_40pct_reach,577344963,top_20pct_reach,387967978,0.328,medium,1,552,491,146,104,496,149,96,19,4,2,13,12,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,top_20pct_reach,332608249,False,False,11800000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,clean,7351,long_tail,stock_mid,针灸,top_20pct_reach,top_20pct_reach,6.891369,245199475,365,15800000,3700000,145,0.3448,0.7389,reach_high,reach_high,top_20pct_reach,711227523,top_20pct_reach,302716261,0.5744,high,0,494,381,36,112,384,36,109,8,1,2,5,5,https://www.tiktok.com/@geotherapy/video/7416634811328007456,His knots were so big i has to needle them out! #massage #physio #dryneedling #acupuncture #traps,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,top_20pct_reach,329199475,False,False,-84000000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,clean,48,near_invisible,stock_low,litextiles,middle_40_70pct_reach,middle_40_70pct_reach,6.139371,17747302,82,5400000,1261280,15,0.0411,0.0844,reach_mid,reach_mid,middle_40_70pct_reach,431336490,middle_40_70pct_reach,39865029,0.9076,high,0,971,84,138,800,84,140,798,10,3,0,7,2,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,17747302,False,False,0,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,clean,13,near_invisible,stock_low,廊桥,lower_70_90pct_reach,lower_70_90pct_reach,5.35493,4076393,188,395600,142910,14,0.0255,0.287,reach_low,reach_low,bottom_10pct_reach,159734941,lower_70_90pct_reach,10572753,0.9338,high,1,655,190,26,448,193,27,444,10,0,1,9,6,https://www.tiktok.com/@lminghei4/video/7595561107331370270,情，始于廊桥，终于廊桥。爱，融于灵魂，镌刻一生。#此情永不移 #nothingsgonnachangemylove #小提琴 #音乐 #好的音乐总能触动人的心灵 ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,7005393,False,False,-2929000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
18,羌年,Qiang New Year festival,USL,节庆民俗,clean,7,near_invisible,stock_low,qiangculture,middle_40_70pct_reach,middle_40_70pct_reach,6.358721,38667397,104,8600000,1585000,28,0.0489,0.1612,reach_mid,reach_mid,high_20_40pct_reach,790005118,high_20_40pct_reach,163136309,0.7935,high,-1,645,104,128,427,104,130,425,3,0,0,3,2,https://www.tiktok.com/@qiangchinatravel/video/7595297313250135304,Nhà của Dai Dai đón khách nhiều tới nỗi bố mẹ không muốn ra khỏi phòng nữa vì quá mệt . ăn tết có 2 ngày giờ thành 4 ngày còn chưa hết người #qiangchina #chinatravel #tourchina #daidaitrungquoc #呆呆 ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,38667397,False,False,0,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),clean,10,near_invisible,stock_low,侗族大歌,bottom_10pct_reach,bottom_10pct_reach,4.179991,148748,59,31000,15990,0,0.0005,0.1031,reach_low,reach_low,lower_70_90pct_reach,303528771,bottom_10pct_reach,4169223,0.9863,high,-1,572,63,48,467,66,50,462,10,0,0,10,5,https://www.tiktok.com/@unknowncultures/video/7032437244807875846,竹竿舞 #苗族 #瑶族 #黎族 #佤族 #侗族 #竹竿舞 #贵州 #少数民族 #民族服饰 #中国 #miaozu #hmong #yaozu #mienh #lizu #wazu #dongzu #china #bamboodance #dongpeople #wapeople #hmongb,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,bottom_10pct_reach,298248,False,False,-149500,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),clean,9,near_invisible,stock_low,西安鼓乐,middle_40_70pct_reach,middle_40_70pct_reach,6.012764,10852555,52,3300000,1290000,11,0.0088,0.0717,reach_mid,reach_mid,top_20pct_reach,1235847410,lower_70_90pct_reach,20293121,0.9836,high,-2,725,55,78,601,58,80,596,10,0,0,10,5,https://www.tiktok.com/@joejun0/video/7343513140216237313,"🇲🇾 2024 新山福州十邑会馆舞龍队 鼓乐篇 可爱的是那个女孩 打一下拔头发飞一下🤣🤣🤣凉爽 哈哈哈 其实有一幕小姐姐笑起来真好看😍 Drum music The cute thing is that girl. Hit it and pull out her hair and it will fly🤣🤣🤣It’s cool, hahaha In fact, there is a scene where the young lady ",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,25052555,False,False,-14200000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,clean,508,near_invisible,stock_low,sericulture,middle_40_70pct_reach,middle_40_70pct_reach,6.247013,48894741,175,29300000,336670,18,0.0611,0.1675,reach_mid,reach_mid,high_20_40pct_reach,799875619,high_20_40pct_reach,205437061,0.7448,high,-1,1045,185,197,748,187,197,746,4,0,0,4,2,https://www.tiktok.com/@peter.pan810/video/7285420837681892639,"5000 years ago, the Chinese learned to make quilts from the silk of the silkworm, which are breathable, light, and cozy.#culture #handcraft #handwork #fyp #foryou #ancient #china #chineseculture ",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,53694741,False,False,-4800000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
22,南音,Nanyin,RL,表演艺术(音乐),clean,854,near_invisible,stock_low,Nanyin,lower_70_90pct_reach,lower_70_90pct_reach,5.905591,14314705,129,1200000,698400,24,0.0381,0.1669,reach_low,reach_low,lower_70_90pct_reach,375385895,lower_70_90pct_reach,16145818,0.957,high,0,773,140,61,604,143,63,599,10,0,0,10,5,https://www.tiktok.com/@nanf_music/video/7232797979835370794,#music #fyp #我要上推薦 #音樂 #粉丝 ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,18814705,False,True,-4500000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,clean,603357,head,stock_high,yunjin,high_20_40pct_reach,high_20_40pct_reach,6.646216,101751989,207,13000000,2220000,98,0.2194,0.3286,reach_high,reach_high,middle_40_70pct_reach,463757624,middle_40_70pct_reach,123755870,0.7331,high,1,630,216,89,343,216,89,343,0,0,0,0,0,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮  #CELEBRATION ,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,101751989,False,False,0,P2_noise_risk,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,clean,128,near_invisible,stock_low,xuanpaper,top_20pct_reach,top_20pct_reach,7.025465,273472611,251,38000000,5250000,110,0.2575,0.3612,reach_high,reach_high,top_20pct_reach,1061958793,top_20pct_reach,627644895,0.4143,medium,0,695,258,159,291,259,161,288,10,3,1,6,9,https://www.tiktok.com/@trendygabriel/video/7321072687260962091,Replying to @ムズキフ he knows how to make that paper💰 #wow #howitsmade ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,top_20pct_reach,282772611,False,False,-9300000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
25,粤剧,Yueju opera,RL,表演艺术(戏曲),clean,289,near_invisible,stock_low,cantoneseopera,middle_40_70pct_reach,middle_40_70pct_reach,6.340782,40755989,114,27700000,811800,15,0.1379,0.2495,reach_mid,reach_mid,middle_40_70pct_reach,295526017,high_20_40pct_reach,151834224,0.4862,medium,0,457,160,119,291,159,120,291,7,1,1,5,4,https://www.tiktok.com/@maisieding6688/video/7159021562836913454,Emergency change makeup #fy #fyp #foryou #foryoupage #opera #pekingopera #china #chineseculture ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,13055989,False,True,27700000,P3_normal,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,clean,227,near_invisible,stock_low,gesar,lower_70_90pct_reach,lower_70_90pct_reach,5.102243,1787008,76,496400,86025,2,0.0027,0.1157,reach_low,reach_low,high_20_40pct_reach,663013279,top_20pct_reach,355405658,0.464,high,-2,657,78,178,419,81,182,412,10,0,0,10,7,https://www.tiktok.com/@tehocana3333/video/7558969095731825951,Replying to @yiyi_.gym Busca el video de donde viene este comentario #nesara #gesara #soberano #libre #revelaciones369 ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,3511908,False,False,-1724900,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,clean,657,near_invisible,stock_low,longquanceladon,high_20_40pct_reach,high_20_40pct_reach,6.599825,112095917,278,46100000,896850,45,0.2855,0.4371,reach_high,reach_high,middle_40_70pct_reach,392626319,middle_40_70pct_reach,162441068,0.5863,high,1,636,295,59,318,302,60,310,16,5,1,10,12,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,high_20_40pct_reach,168495917,False,False,-56400000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,clean,37,near_invisible,stock_low,regong,lower_70_90pct_reach,lower_70_90pct_reach,5.265674,3997651,233,455500,81660,10,0.0107,0.3314,reach_low,reach_low,middle_40_70pct_reach,373763169,bottom_10pct_reach,7530713,0.9799,high,-1,703,237,46,436,240,48,431,10,0,0,10,5,https://www.tiktok.com/@thangka.painting/video/7473271624385662254,"#Thangka handmade painting, #religious art, #Tibetan Thangka",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,6899451,False,False,-2901800,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
29,藏戏,Xizang opera,RL,表演艺术(戏曲),clean,808,near_invisible,stock_low,lhamo,bottom_10pct_reach,bottom_10pct_reach,4.987861,1731170,159,200800,70180,2,0.0041,0.2442,reach_low,reach_low,middle_40_70pct_reach,426305888,lower_70_90pct_reach,36186921,0.9151,high,-2,651,164,98,400,167,101,394,12,0,0,12,6,https://www.tiktok.com/@theroyalfamilyofbhutan/video/7571090782103276808,"Ashi Yeatso Lhamo, wife of His Royal Highness Gyaltsab Jigme Dorji Wangchuck and elder sister of Her Majesty The Gyaltsuen 💛🐉🇧🇹🙇‍♀️💐 #royalfamily #royalfamilyofbhutan #ashiyeatsholhamo #globalpeaceprayer",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,bottom_10pct_reach,3523970,False,False,-1792800,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
30,玛纳斯,Manas,RL,口头传统/史诗,clean,103875,head,stock_high,manas,high_20_40pct_reach,high_20_40pct_reach,6.776523,101345094,89,24700000,4940000,33,0.2403,0.2094,reach_high,reach_high,middle_40_70pct_reach,421670719,high_20_40pct_reach,121859851,0.711,high,1,425,90,82,254,90,82,254,1,0,0,1,0,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,"please ignore the ugly grandma bun        ok so quick update lol, my main talking point in this was my dress, not my terrible hair or my lack of makeup. this was filmed close to 3:21 AM after the event was over—so natura",,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,101345094,False,False,0,P2_noise_risk,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),clean,902,near_invisible,stock_low,khoomei,top_20pct_reach,top_20pct_reach,7.144702,320266425,162,81000000,7050000,77,0.3072,0.2425,reach_high,reach_high,top_20pct_reach,1042441489,top_20pct_reach,555775344,0.4802,medium,0,668,166,138,387,167,141,383,9,3,0,6,7,https://www.tiktok.com/@erklen/video/7544518597226401037,throat singing chicken 2  #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,top_20pct_reach,257066425,False,False,63200000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
