final_rank,final_tier,project_id,project_name,project_name_en,list_type,category,quadrant,quadrant_label,stock_band,scale_video_count_best,scale_video_count_tier,likely_reach_tier_final,likely_reach_tier_statistical,likely_total_play,statistical_likely_total_play,final_likely_total_play,audit_adjusted_likely_total_play,final_reach_display_note,audit_adjusted_note,likely_unique_videos,low_relevance_play_ratio,reach_noise_risk,raw_to_likely_tier_delta,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,manual_audit_verdict,previous_quadrant,manual_corrected_quadrant_changed,manual_reach_play_delta,review_priority,interpretation,headline_claim,top_likely_url,top_likely_play,top_likely_desc,top_noise_url,top_noise_play,top_noise_desc
11,T2_small_breakout,15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_mid,7351,long_tail,top_20pct_reach,top_20pct_reach,245199475,245199475,245199475,245199475,statistical row-level likely play; no additional project-level audit adjustment,,365,0.5744,high,0,8,1,2,5,5,,stock_low__reach_high,False,-84000000,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,中医针灸 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@geotherapy/video/7416634811328007456,15800000,His knots were so big i has to needle them out! #massage #physio #dryneedling #acupuncture #traps,https://www.tiktok.com/@thecupdoc/video/7520493733565992206,145100000,Wet cupping promotes tissue recovery by decompressing tight areas and drawing out trapped waste from under the skin. Studies have shown that cupping: • Improves microcirculation a…
12,T2_small_breakout,13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,171,near_invisible,top_20pct_reach,top_20pct_reach,140944338,140944338,140944338,140944338,statistical row-level likely play; no additional project-level audit adjustment,,66,0.8156,high,1,14,7,1,6,4,,stock_low__reach_high,False,24400000,P0_noise_or_tier_drop,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,中国木活字印刷术 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,47700000,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化…,https://www.tiktok.com/@engineezy/video/7632096837394058516,90100000,This machine can draw any shape ••• Every mechanism I've built so far can only draw one shape. So I built one that can draw all of them using a custom app I coded with @ChatGPT to…
13,T2_small_breakout,27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,657,near_invisible,high_20_40pct_reach,high_20_40pct_reach,112095917,112095917,112095917,112095917,statistical row-level likely play; no additional project-level audit adjustment,,278,0.5863,high,1,16,5,1,10,12,,stock_low__reach_high,False,-56400000,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,龙泉青瓷传统烧制技艺 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@shanbai09/video/7569629481434975502,46100000,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porce…",https://www.tiktok.com/@user8513083442827/video/7633736301002362119,19900000,Better broken jade than whole tile. #LongquanCeladon #china #fyp #OrientalAesthetic#giftideas
14,T2_small_breakout,38,端午节,Dragon Boat festival,RL,节庆民俗,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_mid,8891,long_tail,high_20_40pct_reach,high_20_40pct_reach,111202009,111202009,111202009,111202009,statistical row-level likely play; no additional project-level audit adjustment,,388,0.399,medium,2,1,0,0,1,0,,stock_low__reach_low,True,0,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,端午节 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@art6859/video/7378664738378517806,48300000,端午安康#dominoeffect #domino #foryou,https://www.tiktok.com/@baby_bear19999/video/7506532829501639944,16900000,the silence is too loud #blowthisup #xybca #xybca #blowthisup #fyp #roblox #fyppppppppppppppppppppppp #fyppppppppppppppppppppppp #viralvideo #fyp #fyp #fyp #fyp #fyppppppppppppppp…
15,T2_small_breakout,42,古琴艺术,Guqin and its music,RL,表演艺术(音乐),stock_low__reach_high,低存量高触达：小而精破圈候选,stock_mid,9346,long_tail,high_20_40pct_reach,high_20_40pct_reach,106426001,106426001,106426001,106426001,statistical row-level likely play; no additional project-level audit adjustment,,276,0.5991,high,1,12,6,0,6,9,,stock_low__reach_high,False,-17800000,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,古琴艺术 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@mizdramaholic/video/7485060943156694303,20200000,The Orchid Pavilion #兰亭序 #Guzheng #古筝 #iguzheng #guzhengmaster,https://www.tiktok.com/@hudddjd/video/7569493475566030135,38900000,Ru porcelain and guqin making#craftsman#handmade #fyp #rurallife #handwork
16,T3_domestic_or_self_circulating,40,中国雕版印刷技艺,China engraved block printing technique,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,stock_high,31993,mid,middle_40_70pct_reach,middle_40_70pct_reach,93351113,93351113,93351113,93351113,statistical row-level likely play; no additional project-level audit adjustment,,229,0.7101,high,1,10,3,1,6,6,,stock_high__reach_low,False,30800000,P0_stock_high_reach_low,高存量但相关触达不高，倾向自产自销/平台内弱外溢。,中国雕版印刷技艺 存量较高但相关触达未同步放大，偏自产自销/弱外溢。,https://www.tiktok.com/@explore.china6/video/7322759248818081055,24400000,#handcraft #handmade #fyp #learnontiktok #chineseculture,https://www.tiktok.com/@skylineprintworks/video/6980455050179005702,21000000,Part 2! #printmaking #arttok #blockprint #jigsawprint #oddlysatisfying #asmr #trusttheprocess
17,T3_domestic_or_self_circulating,39,妈祖信俗,Mazu belief and customs,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,stock_high,13995,mid,middle_40_70pct_reach,middle_40_70pct_reach,46836788,46836788,46836788,46836788,statistical row-level likely play; no additional project-level audit adjustment,,216,0.8212,high,1,9,0,0,9,5,,stock_high__reach_low,False,-21400000,P0_manual_false_breakout,高存量但相关触达不高，倾向自产自销/平台内弱外溢。,妈祖信俗 存量较高但相关触达未同步放大，偏自产自销/弱外溢。,https://www.tiktok.com/@sury9201/video/7611006409509063956,4100000,#douyin抖音 #Mazu #china,https://www.tiktok.com/@mazzu777/video/7083716709554736385,33600000,허허.🤔 #김준호 #마쭈 #mazzu #cat #추천 #추천떠라 #fyp #comedy #tiktokcomedy #웃긴영상 #틱톡순삭 #viral #xyzbca #이어찍기 @junya1gou
18,T3_domestic_or_self_circulating,37,中国传统木结构建筑营造技艺,Chinese traditional architectural craftsmanship for timber-framed structures,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,stock_high,16173,mid,middle_40_70pct_reach,middle_40_70pct_reach,38819861,38819861,38819861,38819861,statistical row-level likely play; no additional project-level audit adjustment,,301,0.8407,high,-1,13,0,3,10,7,,stock_high__reach_low,False,-31900000,P0_manual_false_breakout,高存量但相关触达不高，倾向自产自销/平台内弱外溢。,中国传统木结构建筑营造技艺 存量较高但相关触达未同步放大，偏自产自销/弱外溢。,https://www.tiktok.com/@goldeneaglelogtimber/video/7130212114853039406,3200000,"Welcome to the Timber Lake, our hottest trending floor plan! 🔥 Watch the full tour on youtube! Link bio #luxury #timberframe #newhome #homeideas #floorplans #loghouse #cabin #home…",https://www.tiktok.com/@ishalcncwoodart_official/video/7591831028256296195,83300000,Best CNC router machine for wood carving V #foruyou #treanding #asmr #diycrafts #Craftsmanship
19,T2_small_breakout,12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,343,near_invisible,high_20_40pct_reach,high_20_40pct_reach,184008225,184008225,184008225,184008225,video-level correction only: manually confirmed noise rows deducted; remaining likely_relevant videos retained,"9/9 targeted high-impact manual samples were unrelated (junk journal/BTS/Jungkook collisions); those video-level noise rows are deducted, while remaining likely_relevant rows stay counted.",239,0.7543,high,0,9,0,0,9,6,false_breakout_confirmed,stock_low__reach_high,True,-118900000,P0_manual_false_breakout,人工核查否定的是抽中的高影响噪声视频，不是整个项目归零；最终口径为逐条扣除已确认噪声，保留剩余机器 likely 相关触达。,中国水密隔舱福船制造技艺 的已核查高播放 breakout 噪声已逐条扣除；剩余未被人工推翻的 likely_relevant 视频仍计入最终触达。,https://www.tiktok.com/@jeweled.by.jolly/video/7493221326799293738,15200000,Brown Junk Case 🤎 #fyp #viral #trendyphonecase #phonecase #coolphonecases #girlyaesthetic #browns #junkcase #earthyaesthetic #earthtone,https://www.tiktok.com/@jungkook/video/7620981615036255509,88500000,#BTS #JungKook #JK #V #SWIM @Kimtaehyung
20,T2_small_breakout,7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,304,near_invisible,high_20_40pct_reach,high_20_40pct_reach,169744719,169744719,169744719,169744719,video-level correction only: manually confirmed noise rows deducted; remaining likely_relevant videos retained,"9/9 targeted high-impact manual samples were unrelated (mental arithmetic/abacus/generic music/food collisions); those video-level noise rows are deducted, while remaining likely_relevant rows stay counted.",214,0.6549,high,1,9,0,0,9,6,false_breakout_confirmed,stock_low__reach_high,True,-114100000,P0_manual_false_breakout,人工核查否定的是抽中的高影响噪声视频，不是整个项目归零；最终口径为逐条扣除已确认噪声，保留剩余机器 likely 相关触达。,中国珠算 的已核查高播放 breakout 噪声已逐条扣除；剩余未被人工推翻的 likely_relevant 视频仍计入最终触达。,https://www.tiktok.com/@sabrinakanashiro/video/7482392760788602167,12800000,Multiplicação no Soroban ✖️🧮 #soroban #abaco #matematica #math #mathematics #calculomental #abacus #fyp #garotasapoiamgarotas #viral_video #viralvideos,https://www.tiktok.com/@dy991891/video/7526849661034876165,51000000,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha
21,T2_small_breakout,11,麦西热甫,Meshrep,USL,表演艺术/民俗,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,54,near_invisible,middle_40_70pct_reach,middle_40_70pct_reach,61411002,61411002,61411002,61411002,video-level correction only: manually confirmed noise rows deducted; remaining likely_relevant videos retained,"Targeted high-impact manual audit found sampled breakout evidence unrelated; those video-level noise rows are deducted, while remaining likely_relevant rows stay counted.",91,0.8473,high,0,10,0,0,10,7,false_breakout_confirmed,stock_low__reach_high,True,-84500000,P0_manual_false_breakout,人工核查否定的是抽中的高影响噪声视频，不是整个项目归零；最终口径为逐条扣除已确认噪声，保留剩余机器 likely 相关触达。,麦西热甫 的已核查高播放 breakout 噪声已逐条扣除；剩余未被人工推翻的 likely_relevant 视频仍计入最终触达。,https://www.tiktok.com/@vincentmklee/video/7293368479342726408,4200000,This girl is from Xinjiang and she is a Uyghur. Wanna visit Xinjiang? 😉 #xinjiang #xinjiangchina #xinjianguyghurs🇨🇳 #uyghur #uyghurs #uyghurpeople #uyghurgirl #china,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,66700000,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic
22,T2_small_breakout,44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",RL,表演艺术(音乐),stock_low__reach_high,人工确认高噪声小众破圈,stock_low,21,near_invisible,manual_confirmed_high_noise_niche_reach,middle_40_70pct_reach,149500000,153711277,149500000,149500000,manual-confirmed relevant high-view rows retained; noisy unrelated long-song/music collisions remain documented,"Manual review found 3 relevant high-play Mongolian throat-singing/music rows and 10 unrelated/noisy rows; final narrative is high-noise confirmed niche reach, not near-invisible.",65,0.8501,high,-2,13,3,0,10,9,,stock_low__reach_low,False,146456300,P1_manual_confirmed_high_noise_niche,人工核查并未否定全部高触达：3 条相关高播放样本支撑小众破圈；同时 10 条不相关样本说明关键词噪声很高，结论须谨慎表达。,蒙古族长调民歌 经人工核查确认存在高播放相关触达，但噪声与边界风险高，应作为高噪声小众破圈案例。,https://www.tiktok.com/@erklen/video/7544518597226401037,81000000,throat singing chicken 2 #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic,https://www.tiktok.com/@itsdxnmusic/video/7493231739372866823,40500000,#spotify #fullsong #lyrics #fyp
23,T4_near_invisible_noise_checked,35,中国篆刻,Art of Chinese seal engraving,RL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_mid,2885,long_tail,middle_40_70pct_reach,middle_40_70pct_reach,56311812,56311812,56311812,56311812,statistical row-level likely play; no additional project-level audit adjustment,,321,0.9267,high,-2,13,1,0,12,8,,stock_low__reach_low,False,-29100000,P0_noise_or_tier_drop,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,中国篆刻 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@craftheritage/video/7624096912974564621,19700000,"Longquan Ge Kiln is one of the Five Great Kilns of the Song Dynasty in China, famous for its distinctive crackle glaze (called ""gold thread and iron wire""). known for elegant shap…",https://www.tiktok.com/@seal_sealion/video/7584755757833325879,156700000,#seal #sealion #fyp
24,T4_near_invisible_noise_checked,21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,508,near_invisible,middle_40_70pct_reach,middle_40_70pct_reach,48894741,48894741,48894741,48894741,statistical row-level likely play; no additional project-level audit adjustment,,175,0.7448,high,-1,4,0,0,4,2,,stock_low__reach_low,False,-4800000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,中国蚕桑丝织技艺 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@peter.pan810/video/7285420837681892639,29300000,"5000 years ago, the Chinese learned to make quilts from the silk of the silkworm, which are breathable, light, and cozy.#culture #handcraft #handwork #fyp #foryou #ancient #china …",https://www.tiktok.com/@lovemysilk/video/7446553422301629742,56600000,Swap your milk for Silk Almondmilk® and #FeelPlantyGood
25,T4_near_invisible_noise_checked,18,羌年,Qiang New Year festival,USL,节庆民俗,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,7,near_invisible,middle_40_70pct_reach,middle_40_70pct_reach,38667397,38667397,38667397,38667397,statistical row-level likely play; no additional project-level audit adjustment,,104,0.7935,high,-1,3,0,0,3,2,,stock_low__reach_low,False,0,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,羌年 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@qiangchinatravel/video/7595297313250135304,8600000,Nhà của Dai Dai đón khách nhiều tới nỗi bố mẹ không muốn ra khỏi phòng nữa vì quá mệt . ăn tết có 2 ngày giờ thành 4 ngày còn chưa hết người #qiangchina #chinatravel #tourchina #d…,https://www.tiktok.com/@poopthien/video/7566468066406567181,48600000,#asian #viet #08 #baby #babyfever part 146
26,T4_near_invisible_noise_checked,6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_mid,2636,long_tail,middle_40_70pct_reach,middle_40_70pct_reach,22500849,22500849,22500849,22500849,statistical row-level likely play; no additional project-level audit adjustment,,188,0.9052,high,1,11,0,0,11,6,,stock_low__reach_low,False,-9200000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,二十四节气 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@zeianz/video/7615588769760038165,2300000,Year of the Goat/Sheep !! 🐐 🐑 #chinesecalendar #chinesezodiac #trending #fypp #xybzca ib : @Loveclouds,https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,38700000,... #real #atmosphere #apathy #nature #vibes
27,T4_near_invisible_noise_checked,4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_mid,1302,long_tail,middle_40_70pct_reach,middle_40_70pct_reach,20773209,20773209,20773209,20773209,statistical row-level likely play; no additional project-level audit adjustment,,142,0.9151,high,2,10,0,0,10,5,,stock_low__reach_low,False,-21200000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,送王船 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@longchunchun/video/7279994056485145863,5700000,Thích cái cách mà cô ấy phá tài sản để mè nheo những tài sản mới 😂 #longchun #tunpham,https://www.tiktok.com/@khat_019/video/7617709236507675924,20300000,คลิปนี้มีมวย5555🤔😂 #ฟีดดดシ #เทรนด์วันนี้ #อย่าปิดการมองเห็น #รําวงเพชรบุรี #มือคีย์บอดที่ชื่อสุดเขตอะ
28,T4_near_invisible_noise_checked,16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,48,near_invisible,middle_40_70pct_reach,middle_40_70pct_reach,17747302,17747302,17747302,17747302,statistical row-level likely play; no additional project-level audit adjustment,,82,0.9076,high,0,10,3,0,7,2,,stock_low__reach_low,False,0,P0_noise_or_tier_drop,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,黎族传统纺染织绣技艺 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,5400000,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle,https://www.tiktok.com/@huatieutieu/video/7631450622050454792,53800000,"Dệt tằm và thêu tranh, Nghề cổ truyền dân gian #huatieutieu #viraltiktok #xuhuong #viral"
29,T4_near_invisible_noise_checked,22,南音,Nanyin,RL,表演艺术(音乐),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,854,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,14314705,14314705,14314705,14314705,statistical row-level likely play; no additional project-level audit adjustment,,129,0.957,high,0,10,0,0,10,5,,stock_low__reach_low,False,-4500000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,南音 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@nanf_music/video/7232797979835370794,1200000,#music #fyp #我要上推薦 #音樂 #粉丝,https://www.tiktok.com/@fujian1060/video/7152877072203975962,19300000,#fujian #meyden #masukberandafyp #fypシ
