project_id,project_name,project_name_en,list_type,category,scale_data_state,scale_video_count_best,scale_video_count_tier,stock_band,scale_best_hashtag,scale_best_challenge_id,scale_terms_clean,scale_terms_noisy,scale_terms_unavailable_or_failed,likely_reach_tier,likely_reach_score,likely_total_play,likely_unique_videos,likely_max_play,likely_p95_play,likely_videos_ge_100k,likely_play_ratio,likely_video_ratio,reach_band,raw_reach_tier,raw_total_play,inclusive_reach_tier,inclusive_total_play,low_relevance_play_ratio,reach_noise_risk,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta,raw_unique_videos,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,likely_top_video_id,likely_top_video_url,likely_top_video_desc,raw_top_video_url,inclusive_top_video_url,quadrant,quadrant_label,review_priority,matrix_note
11,麦西热甫,Meshrep,USL,表演艺术/民俗,clean,54,near_invisible,stock_low,meshrep,1607843679015938,1,0,2,high_20_40pct_reach,6.903347,145911002,96,66700000,3675000,67,0.3556,0.1771,reach_high,middle_40_70pct_reach,410304017,high_20_40pct_reach,148536844,0.638,high,True,1,542,96,36,410,7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic ,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,clean,343,near_invisible,stock_low,junkboat,37461338,3,1,1,top_20pct_reach,7.079254,302908225,243,48200000,6200000,92,0.3996,0.3413,reach_high,high_20_40pct_reach,758064231,top_20pct_reach,310080943,0.591,high,True,1,712,243,35,434,7555028481403309325,https://www.tiktok.com/@junkyyj/video/7555028481403309325,asmr junk journal with me! late night Taco Bell 🤝 me  most GORGEOUS GREEN RING from @Abby.rose.designs check her out y’all her jewelry is insane and so well made #junkjournal #junkjournaling #asmr #scrapbooking #scrapboo,https://www.tiktok.com/@jungkook/video/7620981615036255509,https://www.tiktok.com/@junkyyj/video/7555028481403309325,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,clean,171,near_invisible,stock_low,活字,1619364617568257,4,0,0,high_20_40pct_reach,6.918147,116544338,65,47700000,9460000,14,0.1195,0.0789,reach_high,high_20_40pct_reach,975576060,high_20_40pct_reach,163965620,0.8319,high,False,0,824,68,102,693,7404039857405742344,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化 #中国传统文化 #传统手艺 #传统手工艺 #中国非物质 #传统艺人#传统手工艺人,https://www.tiktok.com/@engineezy/video/7632096837394058516,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
14,京剧,Peking opera,RL,表演艺术(戏曲),clean,7633,long_tail,stock_mid,pekingopera,2171681,3,0,0,top_20pct_reach,7.053434,332608249,366,57700000,3675000,160,0.5761,0.663,reach_high,high_20_40pct_reach,577344963,top_20pct_reach,387564578,0.3287,medium,True,1,552,496,149,96,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,https://www.tiktok.com/@musicwang136/video/7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,clean,7351,long_tail,stock_mid,针灸,1571232196402177,1,1,0,top_20pct_reach,7.023178,329199475,368,34700000,4160000,148,0.4629,0.7449,reach_high,top_20pct_reach,711227523,high_20_40pct_reach,366516261,0.4847,medium,False,0,494,384,36,109,7311475414835170592,https://www.tiktok.com/@ritakharita/video/7311475414835170592,"The World Health Organisation officially approved acupuncture and now recommends it for over 100 conditions including depression, anxiety and apathy. It was tough at the beginning, but you get used to it and it feels rea",https://www.tiktok.com/@thecupdoc/video/7520493733565992206,https://www.tiktok.com/@ritakharita/video/7311475414835170592,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,clean,48,near_invisible,stock_low,litextiles,7508666074515275798,5,0,0,middle_40_70pct_reach,6.139371,17747302,82,5400000,1261280,15,0.0411,0.0844,reach_mid,middle_40_70pct_reach,431336490,lower_70_90pct_reach,48765029,0.8869,high,False,0,971,84,140,798,7409140339413470495,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle ,https://www.tiktok.com/@huatieutieu/video/7631450622050454792,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,clean,13,near_invisible,stock_low,廊桥,7299116243213746209,3,1,0,lower_70_90pct_reach,5.589916,7005393,191,1400000,179900,17,0.0439,0.2916,reach_low,bottom_10pct_reach,159734941,bottom_10pct_reach,7860753,0.9508,high,True,1,655,193,27,444,7257632753879895339,https://www.tiktok.com/@thomasmiller2334/video/7257632753879895339,The Old Covered Bridge,https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,https://www.tiktok.com/@thomasmiller2334/video/7257632753879895339,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
18,羌年,Qiang New Year festival,USL,节庆民俗,clean,7,near_invisible,stock_low,qiangculture,7435604842006970401,2,0,1,middle_40_70pct_reach,6.358721,38667397,104,8600000,1585000,28,0.0489,0.1612,reach_mid,high_20_40pct_reach,790005118,high_20_40pct_reach,169536309,0.7854,high,True,-1,645,104,130,425,7595297313250135304,https://www.tiktok.com/@qiangchinatravel/video/7595297313250135304,Nhà của Dai Dai đón khách nhiều tới nỗi bố mẹ không muốn ra khỏi phòng nữa vì quá mệt . ăn tết có 2 ngày giờ thành 4 ngày còn chưa hết người #qiangchina #chinatravel #tourchina #daidaitrungquoc #呆呆 ,https://www.tiktok.com/@poopthien/video/7566468066406567181,https://www.tiktok.com/@winmg868/video/7064084394142715163,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),clean,10,near_invisible,stock_low,侗族大歌,1653719186273282,3,0,0,bottom_10pct_reach,4.458109,298248,62,72400,30610,0,0.001,0.1084,reach_low,lower_70_90pct_reach,303528771,bottom_10pct_reach,9641723,0.9682,high,True,-1,572,66,50,462,7267009498705972523,https://www.tiktok.com/@candiselin86/video/7267009498705972523,#china #chinese #sportsontiktok #tiktokpartner #football #soccer #village #miao #ethnicminority #苗族 #侗族 #足球 #中国人 #footballgame   ,https://www.tiktok.com/@germangents/video/7545888844516822294,https://www.tiktok.com/@for.chaney.linqiunan/video/7626972893062171924,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),clean,9,near_invisible,stock_low,西安鼓乐,7448384893173628944,1,1,1,middle_40_70pct_reach,6.353695,25052555,55,6000000,3510000,14,0.0203,0.0759,reach_mid,top_20pct_reach,1235847410,middle_40_70pct_reach,47693121,0.9614,high,True,-2,725,58,80,596,7434569668196601144,https://www.tiktok.com/@infinity_drum/video/7434569668196601144,Playing aria math from minecraft on the infinity drum again! Infinity Drum C Aegean . . . . . #minecraft #minecraftmusic #ariamath #soundtracks #soundtrack #minecraftmemes #minecraftfanart #infinitydrum #steeltonguedrum ,https://www.tiktok.com/@thedrumpath/video/7397040267813080336,https://www.tiktok.com/@kungfuteam/video/7635089409666256146,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,clean,508,near_invisible,stock_low,sericulture,1613492238414853,5,0,2,middle_40_70pct_reach,6.299967,53694741,176,29300000,428025,19,0.0671,0.1684,reach_mid,high_20_40pct_reach,799875619,high_20_40pct_reach,210237061,0.7388,high,True,-1,1045,187,197,746,7285420837681892639,https://www.tiktok.com/@peter.pan810/video/7285420837681892639,"5000 years ago, the Chinese learned to make quilts from the silk of the silkworm, which are breathable, light, and cozy.#culture #handcraft #handwork #fyp #foryou #ancient #china #chineseculture ",https://www.tiktok.com/@art_dailydose/video/7629739373419957524,https://www.tiktok.com/@art_dailydose/video/7629739373419957524,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
22,南音,Nanyin,RL,表演艺术(音乐),clean,854,near_invisible,stock_low,Nanyin,1680562934834177,2,1,0,middle_40_70pct_reach,6.02624,18814705,132,2100000,826345,27,0.0501,0.1708,reach_mid,lower_70_90pct_reach,375385895,lower_70_90pct_reach,21511718,0.9427,high,True,1,773,143,63,599,7532483006053829910,https://www.tiktok.com/@levixoneoffical1/video/7532483006053829910,Nanyini fuujo @Desire ,https://www.tiktok.com/@fujian1060/video/7152877072203975962,https://www.tiktok.com/@levixoneoffical1/video/7532483006053829910,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,clean,603357,head,stock_high,yunjin,81942450,4,0,0,high_20_40pct_reach,6.646216,101751989,207,13000000,2220000,98,0.2194,0.3286,reach_high,middle_40_70pct_reach,463757624,middle_40_70pct_reach,123755870,0.7331,high,True,1,630,216,89,343,7632561832489733384,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮  #CELEBRATION ,https://www.tiktok.com/@destinationexplore/video/7227057440968183042,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,stock_high__reach_high,真·规模化出海候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,clean,128,near_invisible,stock_low,xuanpaper,1685694407006209,2,2,0,top_20pct_reach,7.016308,282772611,253,28200000,5640000,112,0.2663,0.364,reach_high,top_20pct_reach,1061958793,top_20pct_reach,721844895,0.3256,medium,False,0,695,259,161,288,7416496883885018398,https://www.tiktok.com/@davdlifts/video/7416496883885018398,How to make giant cheesy ricecakes with ricepaper #jenniferngo #davidngo #mukbang #buldakramen #ricecakes #buldak ,https://www.tiktok.com/@meet_east/video/7130057943722003758,https://www.tiktok.com/@meet_east/video/7130057943722003758,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
25,粤剧,Yueju opera,RL,表演艺术(戏曲),clean,289,near_invisible,stock_low,cantoneseopera,1644085413313537,2,0,0,lower_70_90pct_reach,5.980339,13055989,113,5200000,626800,14,0.0442,0.2473,reach_low,middle_40_70pct_reach,295526017,middle_40_70pct_reach,121734224,0.5881,high,True,-1,457,159,120,291,7549503001975704854,https://www.tiktok.com/@clou11103/video/7549503001975704854,The prelude is sampled from the Cantonese opera Princess Changping (Di Nü Hua).🫶 #kelou #clou #大展鸿图 #skaiisyourgod #vienna ,https://www.tiktok.com/@musicwang136/video/7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,clean,227,near_invisible,stock_low,gesar,23810729,5,0,0,lower_70_90pct_reach,5.38934,3511908,79,646800,204080,5,0.0053,0.1202,reach_low,high_20_40pct_reach,663013279,top_20pct_reach,494230558,0.2546,high,True,-2,657,81,182,412,7468004942196837654,https://www.tiktok.com/@ef_gesarhede/video/7468004942196837654,Natürlich wollen wir draußen arbeiten🤓 #schule #Ak25 #rhede #fyp #gesarhede #fraudiekmann ,https://www.tiktok.com/@nksomin/video/6987630425363565850,https://www.tiktok.com/@nksomin/video/6987630425363565850,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,clean,657,near_invisible,stock_low,longquanceladon,1670841724119045,1,0,0,high_20_40pct_reach,6.762153,168495917,282,46100000,1695000,49,0.4292,0.4434,reach_high,middle_40_70pct_reach,392626319,high_20_40pct_reach,194441068,0.5048,high,True,1,636,302,60,310,7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",https://www.tiktok.com/@shanbai09/video/7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,clean,37,near_invisible,stock_low,regong,7086743701304639515,2,0,0,lower_70_90pct_reach,5.518147,6899451,236,1800000,106025,13,0.0185,0.3357,reach_low,middle_40_70pct_reach,373763169,bottom_10pct_reach,12588513,0.9663,high,True,-1,703,240,48,431,7433817087862164743,https://www.tiktok.com/@kobitaraniroy4/video/7433817087862164743,#唐卡 #佛教 #佛教文化 ,https://www.tiktok.com/@rehome.life/video/7589872995724774670,https://www.tiktok.com/@kobitaraniroy4/video/7433817087862164743,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
29,藏戏,Xizang opera,RL,表演艺术(戏曲),clean,808,near_invisible,stock_low,lhamo,13734268,4,0,0,bottom_10pct_reach,5.278431,3523970,162,906900,80825,5,0.0083,0.2488,reach_low,middle_40_70pct_reach,426305888,middle_40_70pct_reach,82979721,0.8054,high,True,-2,651,167,101,394,7581817395174477074,https://www.tiktok.com/@kairareo/video/7581817395174477074,A Live Stream That Ended in Horror: The Lhamo Case. #creatorsearchinsights #foryoupage #fyp #foryou #truestory ,https://www.tiktok.com/@laranaa8/video/7618553054584917261,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
30,玛纳斯,Manas,RL,口头传统/史诗,clean,103875,head,stock_high,manas,781697,2,0,0,high_20_40pct_reach,6.776523,101345094,89,24700000,4940000,33,0.2403,0.2094,reach_high,middle_40_70pct_reach,421670719,middle_40_70pct_reach,121859851,0.711,high,True,1,425,90,82,254,7604472694184185102,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,"please ignore the ugly grandma bun        ok so quick update lol, my main talking point in this was my dress, not my terrible hair or my lack of makeup. this was filmed close to 3:21 AM after the event was over—so natura",https://www.tiktok.com/@michaelcj.official/video/7538107186161995038,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,stock_high__reach_high,真·规模化出海候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),clean,902,near_invisible,stock_low,khoomei,1617754482966529,3,1,1,top_20pct_reach,7.064941,257066425,163,28800000,9350000,78,0.2466,0.244,reach_high,top_20pct_reach,1042441489,top_20pct_reach,657375344,0.3827,medium,False,0,668,167,141,383,7618062452944669982,https://www.tiktok.com/@lol_ha61/video/7618062452944669982,😂😂😂#chinesethroatsinging #funny ,https://www.tiktok.com/@erklen/video/7544518597226401037,https://www.tiktok.com/@erklen/video/7544518597226401037,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
