project_id,project_name,project_name_en,list_type,category,search_terms_config_count,term_result_count,term_scripts,term_result_classes,ceiling_classes,search_stock_proxy,unique_video_count,total_play_count,median_play_count,mean_play_count,p75_play_count,p90_play_count,p95_play_count,p99_play_count,max_play_count,videos_ge_1k_play,videos_ge_10k_play,videos_ge_100k_play,videos_ge_1m_play,zero_play_videos,zero_play_ratio,total_digg_count,total_comment_count,total_share_count,max_digg_count,max_comment_count,max_share_count,all_video_language_proxy_counts,top10_by_play_language_proxy_counts,top_video_id,top_video_url,top_video_author,top_video_desc,absolute_reach_tier,initial_reach_tier,raw_reach_score,prelim_search_stock_x_reach_quadrant
11,麦西热甫,Meshrep,USL,表演艺术/民俗,4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 4}","{""ceiling_capped"": 1, ""exhausted"": 3}",ceiling_capped_stock,542,410304017,30000,757018,217600,979570,2395000,11821000,66700000,454,345,196,53,0,0.0,36208335,398866,5831077,5900000,39400,3200000,"{""cjk"": 56, ""latin"": 384, ""mixed"": 58, ""unknown"": 44}","{""latin"": 9, ""mixed"": 1}",7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,yuji_beleza,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic ,very_high,middle_40_70pct_raw_reach,7.041616,search_stock_low_or_unclear__reach_low_or_medium
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,5,5,"{""cjk"": 2, ""latin"": 3}","{""has_data"": 5}","{""boundary"": 1, ""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,712,758064231,18450,1064697,228600,1300000,3300000,20451000,88500000,521,387,234,88,33,0.0463,73006623,1141104,4514123,14900000,322400,1200000,"{""cjk"": 129, ""latin"": 446, ""mixed"": 93, ""unknown"": 44}","{""latin"": 10}",7620981615036255509,https://www.tiktok.com/@jungkook/video/7620981615036255509,jungkook,#BTS #JungKook #JK #V #SWIM @Kimtaehyung ,very_high,high_20_40pct_raw_reach,7.215872,search_stock_high__reach_high
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,5,5,"{""cjk"": 2, ""latin"": 3}","{""has_data"": 5}","{""ceiling_capped"": 4, ""exhausted"": 1}",ceiling_capped_stock,824,975576060,58050,1183952,381575,1970000,4470000,17339000,90100000,713,563,345,127,0,0.0,40666737,490464,3680294,3100000,44800,656300,"{""cjk"": 181, ""latin"": 500, ""mixed"": 114, ""unknown"": 29}","{""latin"": 9, ""mixed"": 1}",7632096837394058516,https://www.tiktok.com/@engineezy/video/7632096837394058516,engineezy,This machine can draw any shape ••• Every mechanism I've built so far can only draw one shape. So I built one that can draw all of them using a custom app I coded with @ChatGPT to create the cam profiles. Then I pushed it even further and t,very_high,high_20_40pct_raw_reach,7.318702,search_stock_high__reach_high
14,京剧,Peking opera,RL,表演艺术(戏曲),4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,552,577344963,82650,1045915,521950,2190000,4245000,18288000,57700000,494,396,262,93,1,0.0018,43818427,479972,3761972,5700000,85700,679400,"{""cjk"": 39, ""latin"": 360, ""mixed"": 148, ""unknown"": 5}","{""cjk"": 1, ""latin"": 7, ""mixed"": 2}",7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,musicwang136,#chinese #京剧 #foryou ,very_high,high_20_40pct_raw_reach,7.18049,search_stock_high__reach_high
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 3, ""zero_real"": 1}","{""ceiling_capped"": 1, ""exhausted"": 2, ""zero_real"": 1}",ceiling_capped_stock,494,711227523,62400,1439732,685400,2700000,5470000,21810000,145100000,426,330,229,101,0,0.0,40241846,287591,6029577,5400000,77600,2000000,"{""cjk"": 40, ""latin"": 404, ""mixed"": 43, ""unknown"": 7}","{""latin"": 9, ""unknown"": 1}",7520493733565992206,https://www.tiktok.com/@thecupdoc/video/7520493733565992206,thecupdoc,Wet cupping promotes tissue recovery by decompressing tight areas and drawing out trapped waste from under the skin. Studies have shown that cupping: •	Improves microcirculation and local blood flow •	Reduces inflammation by lowering marker,very_high,top_20pct_raw_reach,7.325005,search_stock_high__reach_high
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,6,6,"{""cjk"": 4, ""latin"": 2}","{""has_data"": 6}","{""ceiling_capped"": 3, ""exhausted"": 3}",ceiling_capped_stock,971,431336490,18300,444219,137400,682500,1750000,6420000,53800000,733,545,290,76,23,0.0237,22781099,204838,1314132,2400000,16000,128000,"{""cjk"": 186, ""latin"": 506, ""mixed"": 205, ""unknown"": 74}","{""latin"": 8, ""mixed"": 1, ""unknown"": 1}",7631450622050454792,https://www.tiktok.com/@huatieutieu/video/7631450622050454792,huatieutieu,"Dệt tằm và thêu tranh, Nghề cổ truyền dân gian #huatieutieu #viraltiktok #xuhuong #viral ",very_high,middle_40_70pct_raw_reach,6.999795,search_stock_low_or_unclear__reach_low_or_medium
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 4}",ceiling_capped_stock,655,159734941,4529,243870,58350,424640,949690,3784000,26300000,445,268,132,31,27,0.0412,11817946,93781,494398,2500000,8670,35100,"{""cjk"": 62, ""latin"": 452, ""mixed"": 71, ""unknown"": 70}","{""cjk"": 1, ""latin"": 7, ""mixed"": 2}",7642174414309575957,https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,indra.dahal24,"mini  bridge construction using by mini bricks,cement and wood##miniature #smallcreator #highbridge #construction",very_high,bottom_10pct_raw_reach,6.65972,search_stock_high__reach_low
18,羌年,Qiang New Year festival,USL,节庆民俗,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,645,790005118,83700,1224814,554000,2400000,4380000,26692000,48600000,532,454,307,122,2,0.0031,64674270,617939,5616498,6000000,50100,663800,"{""cjk"": 154, ""latin"": 284, ""mixed"": 164, ""unknown"": 43}","{""latin"": 8, ""mixed"": 2}",7566468066406567181,https://www.tiktok.com/@poopthien/video/7566468066406567181,poopthien,#asian #viet #08 #baby #babyfever part 146,very_high,high_20_40pct_raw_reach,7.224869,search_stock_high__reach_high
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 2, ""exhausted"": 2}",ceiling_capped_stock,572,303528771,11100,530645,162275,665820,1690000,5287000,97600000,422,290,170,44,2,0.0035,26342233,273706,4038661,8800000,93900,2800000,"{""cjk"": 80, ""latin"": 346, ""mixed"": 102, ""unknown"": 44}","{""cjk"": 2, ""latin"": 6, ""unknown"": 2}",7545888844516822294,https://www.tiktok.com/@germangents/video/7545888844516822294,germangents,Dame Un Grrr😏💅 #dameungrrr #suits #cringe #acappella #germangents,very_high,lower_70_90pct_raw_reach,6.96972,search_stock_high__reach_low
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,725,1235847410,45300,1704617,829400,4360000,8480000,27436000,67200000,568,457,319,167,10,0.0138,124707691,887479,6742101,4900000,48400,317900,"{""cjk"": 124, ""latin"": 368, ""mixed"": 206, ""unknown"": 27}","{""latin"": 10}",7397040267813080336,https://www.tiktok.com/@thedrumpath/video/7397040267813080336,thedrumpath,Beggin’ - Måneskin #tiktok #tiktokviral #viral #tiktokviralvideo #viraltiktok #drums #drummer #drumcover #music #songs ,very_high,top_20pct_raw_reach,7.423115,search_stock_high__reach_high
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,7,7,"{""cjk"": 3, ""latin"": 4}","{""has_data"": 7}","{""ceiling_capped"": 4, ""exhausted"": 3}",ceiling_capped_stock,1045,799875619,9472,765431,126300,840240,2860000,15668000,57100000,736,516,279,90,0,0.0,40629667,217722,1700956,3700000,17700,253500,"{""cjk"": 116, ""latin"": 753, ""mixed"": 138, ""unknown"": 38}","{""latin"": 8, ""mixed"": 2}",7629739373419957524,https://www.tiktok.com/@art_dailydose/video/7629739373419957524,art_dailydose,"Wei Silk Art – Wei Weaving is a Chinese artist who creates intricate sculptures using only wire. In this piece, she shapes and twists fine strands into a detailed tree, building the trunk, branches and flow entirely by hand without any soli",very_high,high_20_40pct_raw_reach,7.171829,search_stock_high__reach_high
22,南音,Nanyin,RL,表演艺术(音乐),5,5,"{""cjk"": 2, ""latin"": 3}","{""has_data"": 5}","{""ceiling_capped"": 4, ""exhausted"": 1}",ceiling_capped_stock,773,375385895,23700,485622,166000,899020,2100000,9980000,19300000,617,450,242,68,0,0.0,19912136,208986,1101119,1800000,12900,169200,"{""cjk"": 119, ""latin"": 369, ""mixed"": 179, ""unknown"": 106}","{""cjk"": 2, ""latin"": 7, ""mixed"": 1}",7152877072203975962,https://www.tiktok.com/@fujian1060/video/7152877072203975962,fujian1060,#fujian #meyden #masukberandafyp #fypシ ,very_high,lower_70_90pct_raw_reach,6.909516,search_stock_high__reach_low
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 2, ""exhausted"": 2}",ceiling_capped_stock,630,463757624,32200,736123,272625,975520,2855000,10600000,106000000,492,382,225,63,0,0.0,50010278,325761,2020174,10400000,81600,479100,"{""cjk"": 125, ""latin"": 364, ""mixed"": 110, ""unknown"": 31}","{""latin"": 9, ""mixed"": 1}",7227057440968183042,https://www.tiktok.com/@destinationexplore/video/7227057440968183042,destinationexplore,"Wow, so beautiful.❤️✨   📍Nanjing| Nanjing Zhongshan  #naturesms",very_high,middle_40_70pct_raw_reach,7.133136,search_stock_low_or_unclear__reach_low_or_medium
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,695,1061958793,88900,1527998,828500,3860000,8110000,26084000,53000000,597,475,340,158,0,0.0,78501432,405555,2321956,5100000,24600,99200,"{""cjk"": 58, ""latin"": 541, ""mixed"": 77, ""unknown"": 19}","{""latin"": 10}",7130057943722003758,https://www.tiktok.com/@meet_east/video/7130057943722003758,meet_east,Ancient papermaking #handwork,very_high,top_20pct_raw_reach,7.375426,search_stock_high__reach_high
25,粤剧,Yueju opera,RL,表演艺术(戏曲),3,3,"{""cjk"": 1, ""latin"": 2}","{""has_data"": 3}","{""ceiling_capped"": 3}",ceiling_capped_stock,457,295526017,27000,646665,237100,1100000,2800000,9280000,57700000,366,274,156,53,0,0.0,24242388,236334,1835259,5700000,85700,603900,"{""cjk"": 90, ""latin"": 194, ""mixed"": 157, ""unknown"": 16}","{""latin"": 7, ""mixed"": 3}",7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,musicwang136,#chinese #京剧 #foryou ,very_high,middle_40_70pct_raw_reach,6.993039,search_stock_low_or_unclear__reach_low_or_medium
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,657,663013279,49100,1009153,646800,2440000,4900000,16088000,48000000,565,427,270,129,0,0.0,59230025,369754,4604631,4700000,19900,1200000,"{""cjk"": 97, ""latin"": 375, ""mixed"": 107, ""unknown"": 78}","{""latin"": 10}",6987630425363565850,https://www.tiktok.com/@nksomin/video/6987630425363565850,nksomin,Venom epic moment 😎 #fyp #Venom2018 #Marvel,very_high,high_20_40pct_raw_reach,7.208647,search_stock_high__reach_high
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 2, ""exhausted"": 2}",ceiling_capped_stock,636,392626319,9834,617337,138725,760400,2725000,15440000,46100000,469,316,172,55,0,0.0,27048450,192517,1688593,3800000,22200,381200,"{""cjk"": 85, ""latin"": 412, ""mixed"": 113, ""unknown"": 26}","{""latin"": 8, ""mixed"": 1, ""unknown"": 1}",7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,shanbai09,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraft #chineseheritage #",very_high,middle_40_70pct_raw_reach,7.016816,search_stock_low_or_unclear__reach_low_or_medium
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,703,373763169,16500,531669,153150,629720,1300000,5588000,119400000,534,391,208,50,0,0.0,15949305,180411,3262103,1500000,14500,1200000,"{""cjk"": 174, ""latin"": 363, ""mixed"": 95, ""unknown"": 71}","{""cjk"": 2, ""latin"": 6, ""mixed"": 1, ""unknown"": 1}",7589872995724774670,https://www.tiktok.com/@rehome.life/video/7589872995724774670,rehome.life,"Source factory direct supply, factory craftsmanship, SPC flooring real material.#OEM#EasyInstall #factory#flooring#spc flooring",very_high,middle_40_70pct_raw_reach,6.987705,search_stock_low_or_unclear__reach_low_or_medium
29,藏戏,Xizang opera,RL,表演艺术(戏曲),4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 4}","{""ceiling_capped"": 4}",ceiling_capped_stock,651,426305888,14600,654848,216300,1100000,3200000,13600000,29500000,496,354,216,70,0,0.0,27466677,275958,2347775,2800000,33800,581500,"{""cjk"": 78, ""latin"": 435, ""mixed"": 79, ""unknown"": 59}","{""cjk"": 4, ""latin"": 4, ""mixed"": 1, ""unknown"": 1}",7618553054584917261,https://www.tiktok.com/@laranaa8/video/7618553054584917261,laranaa8,,very_high,middle_40_70pct_raw_reach,7.024815,search_stock_low_or_unclear__reach_low_or_medium
30,玛纳斯,Manas,RL,口头传统/史诗,3,3,"{""cjk"": 1, ""latin"": 2}","{""has_data"": 3}","{""ceiling_capped"": 1, ""exhausted"": 2}",ceiling_capped_stock,425,421670719,78300,992166,431400,2500000,4360000,17508000,27500000,373,313,199,76,0,0.0,37633962,344256,3586563,4100000,51300,491400,"{""cjk"": 51, ""latin"": 285, ""mixed"": 52, ""unknown"": 37}","{""latin"": 10}",7538107186161995038,https://www.tiktok.com/@michaelcj.official/video/7538107186161995038,michaelcj.official,When Cai Jun Dances Like MJ – Coolness Defined in Every Glide#caijun #michaeljacksoncaijun#michael #mj #dance #moonwalk #theydontcareaboutus ,very_high,middle_40_70pct_raw_reach,7.060531,search_stock_low_or_unclear__reach_low_or_medium
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 4}","{""ceiling_capped"": 1, ""exhausted"": 3}",ceiling_capped_stock,668,1042441489,97950,1560541,764125,3700000,6900000,27329000,81000000,582,473,332,145,0,0.0,97404604,783701,12777786,5100000,35800,1200000,"{""cjk"": 57, ""latin"": 510, ""mixed"": 69, ""unknown"": 32}","{""latin"": 10}",7544518597226401037,https://www.tiktok.com/@erklen/video/7544518597226401037,erklen,throat singing chicken 2  #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic ,very_high,top_20pct_raw_reach,7.383857,search_stock_high__reach_high
32,花儿,Hua'er,RL,表演艺术(民歌),3,3,"{""cjk"": 1, ""latin"": 2}","{""has_data"": 3}","{""exhausted"": 3}",below_ceiling_stock,462,326138698,16950,705928,260450,1480000,3485000,12412000,20700000,356,260,163,60,1,0.0022,30950327,293766,3555082,3000000,81600,1100000,"{""cjk"": 55, ""latin"": 274, ""mixed"": 78, ""unknown"": 55}","{""latin"": 8, ""mixed"": 1, ""unknown"": 1}",7587698504424852749,https://www.tiktok.com/@bob485518/video/7587698504424852749,bob485518,what did i do to bro 😭,very_high,lower_70_90pct_raw_reach,6.95414,search_stock_low_or_unclear__reach_low_or_medium
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,679,314728435,27700,463518,145800,655540,1800000,5500000,64800000,557,410,204,49,0,0.0,28026687,416365,6227638,7700000,135700,3500000,"{""cjk"": 114, ""latin"": 402, ""mixed"": 99, ""unknown"": 64}","{""cjk"": 2, ""latin"": 7, ""unknown"": 1}",7625496809963621654,https://www.tiktok.com/@shunlinainai2/video/7625496809963621654,shunlinainai2,#过上了好日子红红火火 #过上了好日子 #农村人的快乐生活 #农村人爱唱歌 ,very_high,lower_70_90pct_raw_reach,6.957113,search_stock_high__reach_low
34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,4,4,"{""cjk"": 1, ""latin"": 3}","{""has_data"": 4}","{""ceiling_capped"": 2, ""exhausted"": 2}",ceiling_capped_stock,689,1134619032,81200,1646762,832400,3500000,8600000,27768000,67300000,613,483,327,152,0,0.0,56533530,568498,4448986,2800000,37500,391200,"{""cjk"": 86, ""latin"": 443, ""mixed"": 150, ""unknown"": 10}","{""latin"": 10}",7542145372022410504,https://www.tiktok.com/@wk_writer__2/video/7542145372022410504,wk_writer__2,best handwriting in the world 💕💫😇 #handwriting #trending #calligraphy #viral #foryou ,very_high,top_20pct_raw_reach,7.413462,search_stock_high__reach_high
35,中国篆刻,Art of Chinese seal engraving,RL,传统手工艺,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 2, ""exhausted"": 2}",ceiling_capped_stock,669,956427162,9907,1429637,158900,1700000,5760000,27824000,156700000,481,334,197,93,0,0.0,75710487,418107,13159700,21800000,109500,6100000,"{""cjk"": 155, ""latin"": 380, ""mixed"": 119, ""unknown"": 15}","{""latin"": 8, ""mixed"": 1, ""unknown"": 1}",7584755757833325879,https://www.tiktok.com/@seal_sealion/video/7584755757833325879,seal_sealion,#seal #sealion #fyp ,very_high,top_20pct_raw_reach,7.378056,search_stock_high__reach_high
