project_id,heritage_item,project_name_en,category,search_keyword,source_platform,region_code,search_order,max_pages_requested,pages_fetched,search_calls,search_quota_cost,collected_count,unique_video_count,totalResults_estimate,nextPageToken_present_at_stop,stop_reason,error_message,started_or_recorded_at
20,西安鼓乐,Xi'an wind and percussion ensemble,表演艺术(音乐),Xi'an drum music,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:21.316243+00:00
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,传统手工艺,Chinese silk sericulture,youtube,US,relevance,1,1,1,100,50,50,80708,True,sample_limit_reached,,2026-06-16T12:16:21.818257+00:00
22,南音,Nanyin,表演艺术(音乐),Nanyin music,youtube,US,relevance,1,1,1,100,50,50,26564,True,sample_limit_reached,,2026-06-16T12:16:22.383463+00:00
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,传统手工艺,Nanjing Yunjin brocade,youtube,US,relevance,1,1,1,100,50,50,2477,True,sample_limit_reached,,2026-06-16T12:16:22.889099+00:00
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,传统手工艺,Xuan paper making,youtube,US,relevance,1,1,1,100,50,50,61521,True,sample_limit_reached,,2026-06-16T12:16:23.378713+00:00
25,粤剧,Yueju opera (Cantonese opera),表演艺术(戏曲),Cantonese opera,youtube,US,relevance,1,1,1,100,50,50,654423,True,sample_limit_reached,,2026-06-16T12:16:23.870477+00:00
26,格萨(斯)尔史诗传统,Gesar epic tradition,口头传统/史诗,Chinese Gesar epic,youtube,US,relevance,1,1,1,100,50,50,2791,True,sample_limit_reached,,2026-06-16T12:16:24.347300+00:00
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,传统手工艺,Longquan celadon,youtube,US,relevance,1,1,1,100,50,50,9362,True,sample_limit_reached,,2026-06-16T12:16:24.753572+00:00
28,热贡艺术,Regong arts,传统手工艺/宗教艺术,Chinese Regong art,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:25.249946+00:00
28,热贡艺术,Regong arts,传统手工艺/宗教艺术,Thangka,youtube,US,relevance,1,1,1,100,50,50,269393,True,sample_limit_reached,,2026-06-16T12:16:25.896852+00:00
29,藏戏,Tibetan opera,表演艺术(戏曲),Tibetan opera,youtube,US,relevance,1,1,1,100,50,50,605625,True,sample_limit_reached,,2026-06-16T12:16:26.374100+00:00
30,玛纳斯,Manas,口头传统/史诗,Chinese Manas epic,youtube,US,relevance,1,1,1,100,50,50,305259,True,sample_limit_reached,,2026-06-16T12:16:26.921022+00:00
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",表演艺术(音乐),Khoomei throat singing,youtube,US,relevance,1,1,1,100,50,50,53552,True,sample_limit_reached,,2026-06-16T12:16:27.424505+00:00
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",表演艺术(音乐),Khoomei,youtube,US,relevance,1,1,1,100,50,50,62313,True,sample_limit_reached,,2026-06-16T12:16:27.891248+00:00
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",表演艺术(音乐),Khoomei China,youtube,US,relevance,1,1,1,100,50,50,46387,True,sample_limit_reached,,2026-06-16T12:16:28.360336+00:00
32,花儿,Hua'er,表演艺术(民歌),Hua'er folk song,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:28.930564+00:00
32,花儿,Hua'er,表演艺术(民歌),Hua'er,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:29.412828+00:00
32,花儿,Hua'er,表演艺术(民歌),Hua'er Gansu,youtube,US,relevance,1,1,1,100,50,50,724,True,sample_limit_reached,,2026-06-16T12:16:30.037786+00:00
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,表演艺术(舞蹈),Farmers' dance of China's Korean ethnic group,youtube,US,relevance,1,1,1,100,50,50,1613,True,sample_limit_reached,,2026-06-16T12:16:30.708273+00:00
34,中国书法,Chinese calligraphy,传统手工艺/视觉艺术,Chinese calligraphy,youtube,US,relevance,1,1,1,100,50,50,964307,True,sample_limit_reached,,2026-06-16T12:16:31.349459+00:00
35,中国篆刻,Art of Chinese seal engraving,传统手工艺,Chinese seal engraving,youtube,US,relevance,1,1,1,100,50,50,64945,True,sample_limit_reached,,2026-06-16T12:16:31.924660+00:00
35,中国篆刻,Art of Chinese seal engraving,传统手工艺,seal engraving,youtube,US,relevance,1,1,1,100,50,50,555273,True,sample_limit_reached,,2026-06-16T12:16:32.442452+00:00
36,中国剪纸,Chinese paper-cut,传统手工艺,Chinese paper cutting,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:32.892546+00:00
36,中国剪纸,Chinese paper-cut,传统手工艺,Jianzhi,youtube,US,relevance,1,1,1,100,50,50,17507,True,sample_limit_reached,,2026-06-16T12:16:33.309655+00:00
37,中国传统木结构建筑营造技艺,Chinese traditional timber-framed architecture,传统手工艺/建筑,Chinese timber architecture,youtube,US,relevance,1,1,1,100,50,50,260161,True,sample_limit_reached,,2026-06-16T12:16:33.815134+00:00
37,中国传统木结构建筑营造技艺,Chinese traditional timber-framed architecture,传统手工艺/建筑,Chinese wooden architecture,youtube,US,relevance,1,1,1,100,50,50,837231,True,sample_limit_reached,,2026-06-16T12:16:34.287903+00:00
38,端午节,Dragon Boat festival,节庆民俗,Duanwu,youtube,US,relevance,1,1,1,100,50,50,137973,True,sample_limit_reached,,2026-06-16T12:16:34.803820+00:00
38,端午节,Dragon Boat festival,节庆民俗,Dragon Boat Festival,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:35.456255+00:00
39,妈祖信俗,Mazu belief and customs,民俗信仰,Mazu,youtube,US,relevance,1,1,1,100,50,50,985861,True,sample_limit_reached,,2026-06-16T12:16:36.049908+00:00
40,中国雕版印刷技艺,China engraved block printing technique,传统手工艺,Chinese woodblock printing,youtube,US,relevance,1,1,1,100,50,50,23537,True,sample_limit_reached,,2026-06-16T12:16:36.651670+00:00
40,中国雕版印刷技艺,China engraved block printing technique,传统手工艺,Chinese block printing,youtube,US,relevance,1,1,1,100,50,50,812910,True,sample_limit_reached,,2026-06-16T12:16:37.195721+00:00
41,昆曲,Kun Qu opera,表演艺术(戏曲),Kunqu opera,youtube,US,relevance,1,1,1,100,50,50,53565,True,sample_limit_reached,,2026-06-16T12:16:37.588375+00:00
42,古琴艺术,Guqin and its music,表演艺术(音乐),Guqin,youtube,US,relevance,1,1,1,100,50,50,514796,True,sample_limit_reached,,2026-06-16T12:16:38.188458+00:00
42,古琴艺术,Guqin and its music,表演艺术(音乐),Chinese Guqin,youtube,US,relevance,1,1,1,100,50,50,283478,True,sample_limit_reached,,2026-06-16T12:16:38.585743+00:00
43,新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,表演艺术(音乐),Uyghur Muqam,youtube,US,relevance,1,1,1,100,50,50,35518,True,sample_limit_reached,,2026-06-16T12:16:39.059775+00:00
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",表演艺术(民歌),Mongolian long song,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:39.582908+00:00
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",表演艺术(民歌),Urtiin Duu,youtube,US,relevance,1,1,1,100,50,50,19145,True,sample_limit_reached,,2026-06-16T12:16:40.079293+00:00
