project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,youtube_collection_state_counts,youtube_three_page_lower_bound_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
18,羌年,Qiang New Year festival,USL,节庆民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
22,南音,Nanyin,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,179,212,29,"{""ceiling_capped_500"": 420}",0,420,51458990,1243,122521,8718,43750,195878,3370207,10852273,226,104,27,8,3,639061,12443,0,212172,6881,0,aUw1_2xbYWM,https://www.youtube.com/watch?v=aUw1_2xbYWM,"Paper making | 千年长安千年纸，原来最原始的纸张是这样造出来的丨Liziqi Channel — Please  subscribe to 【李子柒 liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 
#李子柒#liziqi#lýtửthất#ChineseCuisine#ChineseFood

Papermaki",179,26093428,1166,145773,8392,38569,213260,3719766,10852273,94,44,11,5,1,210711,9184,0,153139,6881,0,aUw1_2xbYWM,https://www.youtube.com/watch?v=aUw1_2xbYWM,"Paper making | 千年长安千年纸，原来最原始的纸张是这样造出来的丨Liziqi Channel — Please  subscribe to 【李子柒 liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 
#李子柒#liziqi#lýtửthất#ChineseCuisine#ChineseFood

Papermaki",391,41151657,1152,105247,7988,37599,151402,2236096,10852273,206,94,23,7,1,544560,11552,0,212172,6881,0,aUw1_2xbYWM,https://www.youtube.com/watch?v=aUw1_2xbYWM,"Paper making | 千年长安千年纸，原来最原始的纸张是这样造出来的丨Liziqi Channel — Please  subscribe to 【李子柒 liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 
#李子柒#liziqi#lýtửthất#ChineseCuisine#ChineseFood

Papermaki",29,10307333,4205,355425,39787,235959,645954,6407045,8575619,20,10,4,1,2,94501,891,0,53166,488,0,sWm1y_tMNxE,https://www.youtube.com/watch?v=sWm1y_tMNxE,My New Paper Airplane!!! — ,0.4262,0.931,0.069,0.5071,0.7997,0.2003,low,middle_40_70pct_reach,6.103027,middle_40_70pct_reach,5.975927,middle_40_70pct_reach,6.023208,False,0
25,粤剧,Yueju opera,RL,表演艺术(戏曲),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
29,藏戏,Xizang opera,RL,表演艺术(戏曲),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
30,玛纳斯,Manas,RL,口头传统/史诗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),364,122,266,"{""ceiling_capped_500"": 409, ""exhausted"": 343}",0,718,432007060,1096,601681,12120,388109,1220398,11820776,124078553,371,187,113,40,2,9237461,429767,0,1632871,153020,0,jM8dCGIm6yc,https://www.youtube.com/watch?v=jM8dCGIm6yc,"The HU - Wolf Totem (Official Music Video) — Official music video for 'Wolf Totem' by The HU.
The Hu Live At Glastonbury here: https://thehu.ffm.to/liveatglastonbury
Get your tickets here:https://thehu.ffm.to/tour
Stream",354,66374156,408,187498,1616,7809,49564,1278332,39450861,127,34,13,6,1,1693927,74756,0,1307752,61878,0,p_5yt5IX38I,https://www.youtube.com/watch?v=p_5yt5IX38I,"Chinggis khaanii Magtaal - Batzorig Vaanchig — Dear friends,

Please consider supporting me on my Patreon https://www.patreon.com/batzorigvaanchig so I can continue to make beautiful music 🎼 for you and show your my beau",469,135850877,722,289661,2907,34276,148095,5328905,39450861,207,74,29,12,1,3337295,98012,0,1307752,61878,0,p_5yt5IX38I,https://www.youtube.com/watch?v=p_5yt5IX38I,"Chinggis khaanii Magtaal - Batzorig Vaanchig — Dear friends,

Please consider supporting me on my Patreon https://www.patreon.com/batzorigvaanchig so I can continue to make beautiful music 🎼 for you and show your my beau",250,296287404,5432,1185150,216292,1264514,3922252,15266535,124078553,165,114,85,28,1,5907046,332123,0,1632871,153020,0,jM8dCGIm6yc,https://www.youtube.com/watch?v=jM8dCGIm6yc,"The HU - Wolf Totem (Official Music Video) — Official music video for 'Wolf Totem' by The HU.
The Hu Live At Glastonbury here: https://thehu.ffm.to/liveatglastonbury
Get your tickets here:https://thehu.ffm.to/tour
Stream",0.493,0.6532,0.3482,0.1536,0.3145,0.6858,high,top_20pct_reach,6.977127,high_20_40pct_reach,6.014835,top_20pct_reach,6.323185,True,-1
32,花儿,Hua'er,RL,表演艺术(民歌),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
