project_id,heritage_item,project_name_en,category,search_keyword,source_platform,region_code,search_order,api_key_index,api_key_attempts,search_calls_including_failed_attempts,search_quota_cost_including_failed_attempts,max_pages_requested,pages_fetched,search_calls,search_quota_cost,collected_count,unique_video_count,totalResults_estimate,nextPageToken_present_at_stop,stop_reason,error_message,started_or_recorded_at
19,侗族大歌,Grand song of the Dong ethnic group,表演艺术(音乐),Dong grand song,youtube,US,relevance,2,[2],3,300,3,3,3,300,134,134,761025,True,sample_limit_reached,,2026-06-16T13:51:17.929368+00:00
19,侗族大歌,Grand song of the Dong ethnic group,表演艺术(音乐),Kgal laox,youtube,US,relevance,3,[3],2,200,3,2,2,200,64,64,65,False,exhausted,,2026-06-16T13:51:18.644852+00:00
20,西安鼓乐,Xi'an wind and percussion ensemble,表演艺术(音乐),Xi'an drum music,youtube,US,relevance,1,[1],3,300,3,3,3,300,148,148,1000000,True,sample_limit_reached,,2026-06-16T13:51:20.535604+00:00
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,传统手工艺,Chinese silk sericulture,youtube,US,relevance,2,[2],3,300,3,3,3,300,147,147,22349,True,sample_limit_reached,,2026-06-16T13:51:22.231931+00:00
22,南音,Nanyin,表演艺术(音乐),Nanyin music,youtube,US,relevance,3,[3],3,300,3,3,3,300,148,148,26564,True,sample_limit_reached,,2026-06-16T13:51:23.981552+00:00
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,传统手工艺,Nanjing Yunjin brocade,youtube,US,relevance,1,[1],3,300,3,3,3,300,149,149,2473,True,sample_limit_reached,,2026-06-16T13:51:26.153689+00:00
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,传统手工艺,Xuan paper making,youtube,US,relevance,2,[2],3,300,3,3,3,300,147,147,61505,True,sample_limit_reached,,2026-06-16T13:51:28.161368+00:00
25,粤剧,Yueju opera (Cantonese opera),表演艺术(戏曲),Cantonese opera,youtube,US,relevance,3,[3],3,300,3,3,3,300,148,148,654308,True,sample_limit_reached,,2026-06-16T13:51:30.208233+00:00
26,格萨(斯)尔史诗传统,Gesar epic tradition,口头传统/史诗,Chinese Gesar epic,youtube,US,relevance,1,[1],3,300,3,3,3,300,149,149,2788,True,sample_limit_reached,,2026-06-16T13:51:31.758825+00:00
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,传统手工艺,Longquan celadon,youtube,US,relevance,2,[2],3,300,3,3,3,300,119,119,13204,False,exhausted,,2026-06-16T13:51:33.254708+00:00
28,热贡艺术,Regong arts,传统手工艺/宗教艺术,Chinese Regong art,youtube,US,relevance,3,[3],3,300,3,3,3,300,139,139,1000000,False,exhausted,,2026-06-16T13:51:34.820350+00:00
28,热贡艺术,Regong arts,传统手工艺/宗教艺术,Thangka,youtube,US,relevance,1,[1],3,300,3,3,3,300,138,138,269380,True,sample_limit_reached,,2026-06-16T13:51:36.483176+00:00
29,藏戏,Tibetan opera,表演艺术(戏曲),Tibetan opera,youtube,US,relevance,2,[2],3,300,3,3,3,300,144,144,605618,True,sample_limit_reached,,2026-06-16T13:51:38.115688+00:00
30,玛纳斯,Manas,口头传统/史诗,Chinese Manas epic,youtube,US,relevance,3,[3],3,300,3,3,3,300,139,139,305584,True,sample_limit_reached,,2026-06-16T13:51:39.886467+00:00
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",表演艺术(音乐),Khoomei throat singing,youtube,US,relevance,2,"[1, 2]",4,400,3,3,3,300,100,100,53559,False,exhausted,,2026-06-16T13:51:41.992720+00:00
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",表演艺术(音乐),Khoomei,youtube,US,relevance,2,[2],3,300,3,3,3,300,141,141,62321,True,sample_limit_reached,,2026-06-16T13:51:43.711435+00:00
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",表演艺术(音乐),Khoomei China,youtube,US,relevance,3,[3],3,300,3,3,3,300,139,139,20671,True,sample_limit_reached,,2026-06-16T13:51:45.400793+00:00
32,花儿,Hua'er,表演艺术(民歌),Hua'er folk song,youtube,US,relevance,2,"[1, 2]",4,400,3,3,3,300,140,140,1000000,True,sample_limit_reached,,2026-06-16T13:51:47.794688+00:00
32,花儿,Hua'er,表演艺术(民歌),Hua'er,youtube,US,relevance,2,[2],3,300,3,3,3,300,143,143,1000000,True,sample_limit_reached,,2026-06-16T13:51:49.513252+00:00
32,花儿,Hua'er,表演艺术(民歌),Hua'er Gansu,youtube,US,relevance,3,[3],3,300,3,3,3,300,141,141,723,True,sample_limit_reached,,2026-06-16T13:51:50.932722+00:00
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,表演艺术(舞蹈),Farmers' dance of China's Korean ethnic group,youtube,US,relevance,2,"[1, 2]",4,400,3,3,3,300,146,146,1617,True,sample_limit_reached,,2026-06-16T13:51:53.584428+00:00
34,中国书法,Chinese calligraphy,传统手工艺/视觉艺术,Chinese calligraphy,youtube,US,relevance,2,[2],3,300,3,3,3,300,132,132,964210,True,sample_limit_reached,,2026-06-16T13:51:55.356542+00:00
35,中国篆刻,Art of Chinese seal engraving,传统手工艺,Chinese seal engraving,youtube,US,relevance,3,[3],3,300,3,3,3,300,150,150,65155,True,sample_limit_reached,,2026-06-16T13:51:57.088390+00:00
35,中国篆刻,Art of Chinese seal engraving,传统手工艺,seal engraving,youtube,US,relevance,1,[1],3,300,3,3,3,300,145,145,479356,True,sample_limit_reached,,2026-06-16T13:51:58.628736+00:00
36,中国剪纸,Chinese paper-cut,传统手工艺,Chinese paper cutting,youtube,US,relevance,2,[2],3,300,3,3,3,300,148,148,1000000,True,sample_limit_reached,,2026-06-16T13:52:00.560236+00:00
36,中国剪纸,Chinese paper-cut,传统手工艺,Jianzhi,youtube,US,relevance,3,[3],3,300,3,3,3,300,140,140,17495,True,sample_limit_reached,,2026-06-16T13:52:02.054637+00:00
37,中国传统木结构建筑营造技艺,Chinese traditional timber-framed architecture,传统手工艺/建筑,Chinese timber architecture,youtube,US,relevance,2,"[1, 2]",4,400,3,3,3,300,133,133,260162,True,sample_limit_reached,,2026-06-16T13:52:04.710302+00:00
37,中国传统木结构建筑营造技艺,Chinese traditional timber-framed architecture,传统手工艺/建筑,Chinese wooden architecture,youtube,US,relevance,2,[2],3,300,3,3,3,300,150,150,837084,True,sample_limit_reached,,2026-06-16T13:52:06.710050+00:00
38,端午节,Dragon Boat festival,节庆民俗,Duanwu,youtube,US,relevance,3,[3],3,300,3,3,3,300,136,136,138012,True,sample_limit_reached,,2026-06-16T13:52:08.652841+00:00
38,端午节,Dragon Boat festival,节庆民俗,Dragon Boat Festival,youtube,US,relevance,2,"[1, 2]",4,400,3,3,3,300,130,130,453224,True,sample_limit_reached,,2026-06-16T13:52:11.233164+00:00
39,妈祖信俗,Mazu belief and customs,民俗信仰,Mazu,youtube,US,relevance,2,[2],3,300,3,3,3,300,140,140,985737,True,sample_limit_reached,,2026-06-16T13:52:13.618514+00:00
40,中国雕版印刷技艺,China engraved block printing technique,传统手工艺,Chinese woodblock printing,youtube,US,relevance,3,[3],3,300,3,3,3,300,142,142,23296,True,sample_limit_reached,,2026-06-16T13:52:15.651898+00:00
40,中国雕版印刷技艺,China engraved block printing technique,传统手工艺,Chinese block printing,youtube,US,relevance,2,"[1, 2]",3,300,3,3,3,300,136,136,812834,True,sample_limit_reached,,2026-06-16T13:52:17.615903+00:00
41,昆曲,Kun Qu opera,表演艺术(戏曲),Kunqu opera,youtube,US,relevance,2,[2],3,300,3,3,3,300,140,140,53332,True,sample_limit_reached,,2026-06-16T13:52:19.333209+00:00
42,古琴艺术,Guqin and its music,表演艺术(音乐),Guqin,youtube,US,relevance,3,[3],3,300,3,3,3,300,143,143,514820,True,sample_limit_reached,,2026-06-16T13:52:21.290317+00:00
42,古琴艺术,Guqin and its music,表演艺术(音乐),Chinese Guqin,youtube,US,relevance,2,"[1, 2]",3,300,3,3,3,300,137,137,503206,True,sample_limit_reached,,2026-06-16T13:52:23.579365+00:00
43,新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,表演艺术(音乐),Uyghur Muqam,youtube,US,relevance,2,[2],3,300,3,3,3,300,137,137,35643,True,sample_limit_reached,,2026-06-16T13:52:25.175999+00:00
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",表演艺术(民歌),Mongolian long song,youtube,US,relevance,3,[3],3,300,3,3,3,300,123,123,1000000,False,exhausted,,2026-06-16T13:52:26.848488+00:00
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",表演艺术(民歌),Urtiin Duu,youtube,US,relevance,2,"[1, 2]",3,300,3,3,3,300,125,125,19150,True,sample_limit_reached,,2026-06-16T13:52:28.744450+00:00
